ticker,company,fiscal_year_end,diluted_avg_shares,diluted_shares_field_used,basic_avg_shares,repurchase_spend,repurchase_field_used,stock_based_comp,data_source,verification_status,record_warnings
PLTR,Palantir Technologies,2022-12-31,2063793000,Verified SEC override,2060785103.0,0.0,Repurchase Of Capital Stock,564798000.0,"SEC EDGAR filing (primary source, verified)",SEC Verified - Diluted Shares,Palantir FY2024 Form 10-K (SEC)
PLTR,Palantir Technologies,2023-12-31,2297927000,Verified SEC override,2144316182.0,0.0,Repurchase Of Capital Stock,475903000.0,"SEC EDGAR filing (primary source, verified)",SEC Verified - Diluted Shares,Palantir FY2024 Form 10-K (SEC)
PLTR,Palantir Technologies,2024-12-31,2450818000,Verified SEC override,2246883476.0,64196000.0,Repurchase Of Capital Stock,691638000.0,"SEC EDGAR filing (primary source, verified)",SEC Verified - Diluted Shares,Palantir FY2024 Form 10-K (SEC)
PLTR,Palantir Technologies,2025-12-31,2565197000,Verified SEC override,2369612000.0,74985000.0,Repurchase Of Capital Stock,684033000.0,"SEC EDGAR filing (primary source, verified)",SEC Verified - Diluted Shares,Palantir FY2025 Form 10-K (SEC)
